Table 1: Accuracy with gold doc + varying number of DISTRACTING docs
Position: Far [I,★,▲,Q] / Mid [I,▲,★,▲,Q] / Near [I,▲,★,Q]
Baseline (0 distracting) all same: Gold-only [I,★,Q]
Closed-book accuracy: Llama2=0.1123  MPT=0.1205  Phi-2=0.0488  Falcon=0.1083

#distracting,Far_Llama2,Far_MPT,Far_Phi2,Far_Falcon,Mid_Llama2,Mid_MPT,Mid_Phi2,Mid_Falcon,Near_Llama2,Near_MPT,Near_Phi2,Near_Falcon
0,0.5642,0.2148,0.4438,0.4330,0.5642,0.2148,0.4438,0.4330,0.5642,0.2148,0.4438,0.4330
1,0.4586,0.1976,0.3585,0.3469,no-mid,no-mid,no-mid,no-mid,0.4283,0.1791,0.4227,0.3602
2,0.3455,0.1913,0.3430,0.3246,0.3322,0.1802,0.3375,0.2823,0.3974,0.2002,0.3975,0.3111
4,0.2745,0.2209*,0.3019,0.2670,0.2857,0.1775,0.2885,0.2378,0.3795,0.2059*,0.3701,0.2736
6,0.2898,0.2171*,0.2943,0.2392,0.2698,0.1424,0.2625,0.2103,0.3880,0.1892,0.3623,0.2656
8,0.2643,0.2077*,0.2513,0.1878,0.2268,0.1002,0.2360,0.1745,0.3748,0.1944,0.3423,0.2424
10,0.2537,-,-,-,0.2180,-,-,-,0.3716,-,-,-
12,0.2688,-,-,-,0.2382,-,-,-,0.3991,-,-,-
14,0.2583,-,-,-,0.2280,-,-,-,0.4118,-,-,-
16,0.2413,-,-,-,0.2024,-,-,-,0.3889,-,-,-
18,0.2348,-,-,-,0.1795,-,-,-,0.3781,-,-,-

* = NOT statistically significant change from gold-only baseline (Wilcoxon p<0.01)
- = prompt exceeded model input limit (data truncation risk)
